Timestamp(ms),Current(uA),D0-D7
6090,27.823,00000000
6100,28.048,00000000
6110,28.047,00000000
6120,27.866,00000000
6130,27.472,00000000
6140,27.420,00000000
6150,27.283,00000000
6160,27.177,00000000
6170,27.402,00000000
6180,27.304,00000000
6190,27.502,00000000
6200,27.764,00000000
6210,27.704,00000000
6220,27.709,00000000
6230,28.040,00000000
6240,28.003,00000000
6250,27.947,00000000
6260,27.907,00000000
6270,27.904,00000000
6280,28.028,00000000
6290,28.039,00000000
6300,27.674,00000000
6310,27.520,00000000
6320,27.554,00000000
6330,27.286,00000000
6340,27.151,00000000
6350,27.260,00000000
6360,27.329,00000000
6370,27.474,00000000
6380,27.719,00000000
6390,27.683,00000000
6400,27.748,00000000
6410,27.994,00000000
6420,28.019,00000000
6430,28.078,00000000
6440,27.932,00000000
6450,27.972,00000000
6460,28.072,00000000
6470,27.907,00000000
6480,27.984,00000000
6490,27.903,00000000
6500,27.605,00000000
6510,27.335,00000000
6520,27.126,00000000
6530,27.106,00000000
6540,27.349,00000000
6550,27.555,00000000
6560,27.528,00000000
6570,27.722,00000000
6580,27.897,00000000
6590,27.913,00000000
6600,27.801,00000000
6610,27.889,00000000
6620,28.043,00000000
6630,27.820,00000000
6640,27.865,00000000
6650,27.891,00000000
6660,28.136,00000000
6670,28.007,00000000
6680,27.866,00000000
6690,27.592,00000000
6700,27.619,00000000
6710,27.294,00000000
6720,27.102,00000000
6730,27.177,00000000
6740,27.282,00000000
6750,27.375,00000000
6760,27.713,00000000
6770,27.894,00000000
6780,27.724,00000000
6790,27.924,00000000
6800,28.080,00000000
6810,28.045,00000000
6820,28.078,00000000
6830,27.866,00000000
6840,28.090,00000000
6850,28.192,00000000
6860,27.956,00000000
6870,27.843,00000000
6880,27.807,00000000
6890,27.567,00000000
6900,27.367,00000000
6910,27.009,00000000
6920,27.212,00000000
6930,27.409,00000000
6940,27.471,00000000
6950,27.604,00000000
6960,27.688,00000000
6970,27.713,00000000
6980,27.832,00000000
6990,27.954,00000000
7000,28.110,00000000
7010,27.997,00000000
7020,27.980,00000000
7030,28.136,00000000
7040,28.044,00000000
7050,27.956,00000000
7060,27.819,00000000
7070,27.669,00000000
7080,27.577,00000000
7090,27.297,00000000
7100,27.121,00000000
7110,27.252,00000000
7120,27.324,00000000
7130,27.456,00000000
7140,27.514,00000000
7150,27.772,00000000
7160,27.756,00000000
7170,27.776,00000000
7180,27.978,00000000
7190,27.924,00000000
7200,28.068,00000000
7210,28.086,00000000
7220,28.020,00000000
7230,28.048,00000000
7240,27.955,00000000
7250,27.879,00000000
7260,27.646,00000000
7270,27.551,00000000
7280,27.322,00000000
7290,27.102,00000000
7300,27.182,00000000
7310,27.339,00000000
7320,27.489,00000000
7330,27.521,00000000
7340,27.714,00000000
7350,27.700,00000000
7360,27.772,00000000
7370,27.881,00000000
7380,27.820,00000000
7390,27.963,00000000
7400,28.162,00000000
7410,28.066,00000000
7420,27.976,00000000
7430,27.962,00000000
7440,27.780,00000000
7450,27.863,00000000
7460,27.735,00000000
7470,27.320,00000000
7480,27.279,00000000
7490,27.390,00000000
7500,27.509,00000000
7510,27.523,00000000
7520,27.673,00000000
7530,27.487,00000000
7540,27.746,00000000
7550,27.844,00000000
7560,27.940,00000000
7570,27.955,00000000
7580,28.047,00000000
7590,28.075,00000000
7600,28.001,00000000
7610,27.858,00000000
7620,27.940,00000000
7630,27.911,00000000
7640,27.693,00000000
7650,27.559,00000000
7660,27.444,00000000
7670,27.072,00000000
7680,27.346,00000000
7690,27.562,00000000
7700,27.375,00000000
7710,27.533,00000000
7720,27.882,00000000
7730,27.811,00000000
7740,27.732,00000000
7750,27.898,00000000
7760,28.002,00000000
7770,27.889,00000000
7780,27.950,00000000
7790,28.061,00000000
7800,27.927,00000000
7810,27.946,00000000
7820,27.787,00000000
7830,27.840,00000000
7840,27.634,00000000
7850,27.396,00000000
7860,27.054,00000000
7870,27.121,00000000
7880,27.357,00000000
7890,27.400,00000000
7900,27.651,00000000
7910,27.582,00000000
7920,27.825,00000000
7930,27.993,00000000
7940,27.875,00000000
7950,28.032,00000000
7960,27.931,00000000
7970,28.090,00000000
7980,28.191,00000000
7990,27.969,00000000
8000,27.989,00000000
8010,27.981,00000000
8020,27.726,00000000
8030,27.571,00000000
8040,27.117,00000000
8050,27.138,00000000
8060,27.260,00000000
8070,27.231,00000000
8080,27.419,00000000
8090,27.469,00000000
8100,27.721,00000000
8110,27.903,00000000
8120,27.880,00000000
8130,27.881,00000000
8140,27.970,00000000
